club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
1.FC Köln,Ondrej Duda,25.0,Slovakia,Attacking Midfield,AM,4000000.0,Hertha BSC,Germany,7000000.0,in,summer,1 Bundesliga,2020,False,,ondrej duda
1.FC Köln,Sebastian Andersson,29.0,Sweden,Centre-Forward,CF,,Union Berlin,Germany,6500000.0,in,summer,1 Bundesliga,2020,False,,sebastian andersson
1.FC Köln,Dimitrios Limnios,22.0,Greece,Right Winger,RW,1200000.0,PAOK Salonika,Greece,3300000.0,in,summer,1 Bundesliga,2020,False,,dimitrios limnios
1.FC Union Berlin,Marius Bülter,27.0,Germany,Left Winger,LW,3000000.0,1.FC Magdeburg,Germany,1500000.0,in,summer,1 Bundesliga,2020,False,,marius bulter
1.FSV Mainz 05,Luca Kilian,20.0,Germany,Centre-Back,CB,2500000.0,SC Paderborn,Germany,2000000.0,in,summer,1 Bundesliga,2020,False,,luca kilian
Bayer 04 Leverkusen,Patrik Schick,24.0,Czech Republic,Centre-Forward,CF,25000000.0,AS Roma,Italy,26500000.0,in,summer,1 Bundesliga,2020,False,,patrik schick
Bayer 04 Leverkusen,Lennart Grill,21.0,Germany,Goalkeeper,GK,1000000.0,1.FC K'lautern,Germany,2000000.0,in,summer,1 Bundesliga,2020,False,,lennart grill
Bayer 04 Leverkusen,Jeremie Frimpong,20.0,Netherlands,Right-Back,RB,45000000.0,Celtic,Scotland,11000000.0,in,winter,1 Bundesliga,2020,False,,jeremie frimpong
Bayer 04 Leverkusen,Demarai Gray,24.0,Jamaica,Left Winger,LW,12000000.0,Leicester,England,2000000.0,in,winter,1 Bundesliga,2020,False,,demarai gray
Bayer 04 Leverkusen,Timothy Fosu-Mensah,23.0,Netherlands,Right-Back,RB,2000000.0,Man Utd,England,1700000.0,in,winter,1 Bundesliga,2020,False,,timothy fosu-mensah
Bayern Munich,Leroy Sané,24.0,Germany,Right Winger,RW,75000000.0,Man City,England,49000000.0,in,summer,1 Bundesliga,2020,False,,leroy sane
Bayern Munich,Marc Roca,23.0,Spain,Defensive Midfield,DM,10000000.0,Espanyol,Spain,9000000.0,in,summer,1 Bundesliga,2020,False,,marc roca
Bayern Munich,Bouna Sarr,28.0,Senegal,Right-Back,RB,2000000.0,Marseille,France,8000000.0,in,summer,1 Bundesliga,2020,False,,bouna sarr
Borussia Dortmund,Jude Bellingham,17.0,England,Attacking Midfield,AM,150000000.0,Birmingham,England,30150000.0,in,summer,1 Bundesliga,2020,False,,jude bellingham
Borussia Dortmund,Emre Can,26.0,Germany,Defensive Midfield,DM,14000000.0,Juventus,Italy,25000000.0,in,summer,1 Bundesliga,2020,False,,emre can
Borussia Mönchengladbach,Manu Koné,19.0,France,Central Midfield,CM,40000000.0,Toulouse,France,9000000.0,in,winter,1 Bundesliga,2020,False,,manu kone
Borussia Mönchengladbach,Joe Scally,18.0,United States,Right-Back,RB,12000000.0,New York City,United States,1800000.0,in,winter,1 Bundesliga,2020,False,,joe scally
Eintracht Frankfurt,Steven Zuber,28.0,Switzerland,Left Winger,LW,2500000.0,TSG Hoffenheim,Germany,3000000.0,in,summer,1 Bundesliga,2020,False,,steven zuber
Eintracht Frankfurt,André Silva,24.0,Portugal,Centre-Forward,CF,12000000.0,AC Milan,Italy,3000000.0,in,summer,1 Bundesliga,2020,False,,andre silva
Eintracht Frankfurt,Ragnar Ache,21.0,Germany,Centre-Forward,CF,2000000.0,Sparta R.,Netherlands,2000000.0,in,summer,1 Bundesliga,2020,False,,ragnar ache
Eintracht Frankfurt,Ajdin Hrustić,24.0,Australia,Central Midfield,CM,,FC Groningen,Netherlands,1000000.0,in,summer,1 Bundesliga,2020,False,,ajdin hrustic
FC Augsburg,Felix Uduokhai,22.0,Germany,Centre-Back,CB,7000000.0,VfL Wolfsburg,Germany,7000000.0,in,summer,1 Bundesliga,2020,False,,felix uduokhai
FC Augsburg,Robert Gumny,22.0,Poland,Right-Back,RB,3500000.0,Lech Poznan,Poland,2000000.0,in,summer,1 Bundesliga,2020,False,,robert gumny
FC Augsburg,Frederik Winther,19.0,Denmark,Centre-Back,CB,1000000.0,Lyngby BK,Denmark,1300000.0,in,summer,1 Bundesliga,2020,False,,frederik winther
Hertha BSC,Jhon Córdoba,27.0,Colombia,Centre-Forward,CF,12000000.0,1.FC Köln,Germany,15000000.0,in,summer,1 Bundesliga,2020,False,,jhon cordoba
Hertha BSC,Alexander Schwolow,28.0,Germany,Goalkeeper,GK,,SC Freiburg,Germany,7000000.0,in,summer,1 Bundesliga,2020,False,,alexander schwolow
Hertha BSC,Deyovaisio Zeefuik,22.0,Netherlands,Right-Back,RB,1200000.0,FC Groningen,Netherlands,4000000.0,in,summer,1 Bundesliga,2020,False,,deyovaisio zeefuik
Hertha BSC,Omar Alderete,23.0,Paraguay,Centre-Back,CB,3000000.0,FC Basel,Switzerland,4000000.0,in,summer,1 Bundesliga,2020,False,,omar alderete
RB Leipzig,Alexander Sørloth,24.0,Norway,Centre-Forward,CF,14000000.0,Crystal Palace,England,20000000.0,in,summer,1 Bundesliga,2020,False,,alexander sorloth
RB Leipzig,Hee-chan Hwang,24.0,"Korea, South",Centre-Forward,CF,18000000.0,RB Salzburg,Austria,12000000.0,in,summer,1 Bundesliga,2020,False,,hee-chan hwang
RB Leipzig,Josep Martínez,22.0,Spain,Goalkeeper,GK,3500000.0,UD Las Palmas,Spain,2500000.0,in,summer,1 Bundesliga,2020,False,,josep martinez
RB Leipzig,Dominik Szoboszlai,20.0,Hungary,Central Midfield,CM,70000000.0,RB Salzburg,Austria,36000000.0,in,winter,1 Bundesliga,2020,False,,dominik szoboszlai
SC Freiburg,Baptiste Santamaria,25.0,France,Defensive Midfield,DM,12000000.0,Angers SCO,France,10000000.0,in,summer,1 Bundesliga,2020,False,,baptiste santamaria
SC Freiburg,Ermedin Demirovic,22.0,Bosnia-Herzegovina,Centre-Forward,CF,14000000.0,Alavés,Spain,3700000.0,in,summer,1 Bundesliga,2020,False,,ermedin demirovic
SV Werder Bremen,Leonardo Bittencourt,26.0,Germany,Attacking Midfield,AM,2800000.0,TSG Hoffenheim,Germany,7000000.0,in,summer,1 Bundesliga,2020,False,,leonardo bittencourt
SV Werder Bremen,Ömer Toprak,30.0,Turkey,Centre-Back,CB,,Bor. Dortmund,Germany,4000000.0,in,summer,1 Bundesliga,2020,False,,omer toprak
TSG 1899 Hoffenheim,Mijat Gacinovic,25.0,Serbia,Attacking Midfield,AM,3500000.0,E. Frankfurt,Germany,3000000.0,in,summer,1 Bundesliga,2020,False,,mijat gacinovic
VfB Stuttgart,Gregor Kobel,22.0,Switzerland,Goalkeeper,GK,35000000.0,TSG Hoffenheim,Germany,7200000.0,in,summer,1 Bundesliga,2020,False,,gregor kobel
VfB Stuttgart,Waldemar Anton,24.0,Germany,Centre-Back,CB,7000000.0,Hannover 96,Germany,4000000.0,in,summer,1 Bundesliga,2020,False,,waldemar anton
VfB Stuttgart,Wataru Endo,27.0,Japan,Defensive Midfield,DM,13000000.0,Sint-Truiden,Belgium,1700000.0,in,summer,1 Bundesliga,2020,False,,wataru endo
VfB Stuttgart,Pascal Stenzel,24.0,Germany,Right-Back,RB,2500000.0,SC Freiburg,Germany,1300000.0,in,summer,1 Bundesliga,2020,False,,pascal stenzel
VfL Wolfsburg,Ridle Baku,22.0,Germany,Right-Back,RB,13000000.0,1.FSV Mainz 05,Germany,10000000.0,in,summer,1 Bundesliga,2020,False,,ridle baku
VfL Wolfsburg,Bartosz Bialek,18.0,Poland,Centre-Forward,CF,2000000.0,Zaglebie Lubin,Poland,5000000.0,in,summer,1 Bundesliga,2020,False,,bartosz bialek
VfL Wolfsburg,Maxence Lacroix,20.0,France,Centre-Back,CB,17000000.0,FC Sochaux,France,5000000.0,in,summer,1 Bundesliga,2020,False,,maxence lacroix
Malmö FF,Veljko Birmancevic,22.0,Serbia,Left Winger,LW,3000000.0,FK Cukaricki,Serbia,1000000.0,in,winter,Allsvenskan,2020,False,,veljko birmancevic
LASK,Mads Emil Madsen,22.0,Denmark,Central Midfield,CM,1000000.0,Silkeborg IF,Denmark,1000000.0,in,summer,Bundesliga,2020,False,,mads emil madsen
Red Bull Salzburg,Oumar Solet,20.0,France,Centre-Back,CB,17000000.0,Olympique Lyon,France,4500000.0,in,summer,Bundesliga,2020,False,,oumar solet
Red Bull Salzburg,Samson Tijani,18.0,Nigeria,Defensive Midfield,DM,,Collins Edwin,Nigeria,1000000.0,in,summer,Bundesliga,2020,False,,samson tijani
Red Bull Salzburg,Brenden Aaronson,20.0,United States,Attacking Midfield,AM,18000000.0,Philadelphia,United States,12700000.0,in,winter,Bundesliga,2020,False,,brenden aaronson
Red Bull Salzburg,Nico Mantl,20.0,Germany,Goalkeeper,GK,1000000.0,Unterhaching,Germany,2000000.0,in,winter,Bundesliga,2020,False,,nico mantl
SK Sturm Graz,Kelvin Yeboah,20.0,Italy,Centre-Forward,CF,3500000.0,WSG Tirol,Austria,1200000.0,in,winter,Bundesliga,2020,False,,kelvin yeboah
AZ Alkmaar,Jesper Karlsson,22.0,Sweden,Left Winger,LW,14000000.0,Elfsborg,Sweden,2600000.0,in,summer,Eredivisie,2020,False,,jesper karlsson
Ajax Amsterdam,Antony,20.0,Brazil,Right Winger,RW,50000000.0,São Paulo,Brazil,15750000.0,in,summer,Eredivisie,2020,False,,antony
Ajax Amsterdam,Davy Klaassen,27.0,Netherlands,Central Midfield,CM,10000000.0,Werder Bremen,Germany,11700000.0,in,summer,Eredivisie,2020,False,,davy klaassen
Ajax Amsterdam,Mohammed Kudus,19.0,Ghana,Attacking Midfield,AM,40000000.0,Nordsjaelland,Denmark,9000000.0,in,summer,Eredivisie,2020,False,,mohammed kudus
Ajax Amsterdam,Sean Klaiber,26.0,Suriname,Right-Back,RB,2500000.0,FC Utrecht,Netherlands,4250000.0,in,summer,Eredivisie,2020,False,,sean klaiber
Ajax Amsterdam,Sébastien Haller,26.0,Cote d'Ivoire,Centre-Forward,CF,25000000.0,West Ham,England,22500000.0,in,winter,Eredivisie,2020,False,,sebastien haller
FC Groningen,Jørgen Strand Larsen,20.0,Norway,Centre-Forward,CF,12000000.0,Sarpsborg 08,Norway,1100000.0,in,summer,Eredivisie,2020,False,,jorgen strand larsen
Feyenoord Rotterdam,Francesco Antonucci,21.0,Belgium,Attacking Midfield,AM,,Monaco B,France,2200000.0,in,summer,Eredivisie,2020,False,,francesco antonucci
Feyenoord Rotterdam,João Carlos Teixeira,27.0,Portugal,Attacking Midfield,AM,2000000.0,Vit. Guimarães,Portugal,1600000.0,in,summer,Eredivisie,2020,False,,joao carlos teixeira
Feyenoord Rotterdam,Mark Diemers,26.0,Netherlands,Attacking Midfield,AM,1200000.0,Fortuna Sittard,Netherlands,1300000.0,in,summer,Eredivisie,2020,False,,mark diemers
PSV Eindhoven,Philipp Max,26.0,Germany,Left-Back,LB,2000000.0,FC Augsburg,Germany,10000000.0,in,summer,Eredivisie,2020,False,,philipp max
PSV Eindhoven,Ibrahim Sangaré,22.0,Cote d'Ivoire,Defensive Midfield,DM,35000000.0,Toulouse,France,7000000.0,in,summer,Eredivisie,2020,False,,ibrahim sangare
SC Heerenveen,Henk Veerman,29.0,Netherlands,Centre-Forward,CF,,FC St. Pauli,Germany,1500000.0,in,summer,Eredivisie,2020,False,,henk veerman
SC Heerenveen,Pawel Bochniewicz,24.0,Poland,Centre-Back,CB,3000000.0,Górnik Zabrze,Poland,1400000.0,in,summer,Eredivisie,2020,False,,pawel bochniewicz
SC Heerenveen,Tibor Halilovic,25.0,Croatia,Attacking Midfield,AM,,HNK Rijeka,Croatia,1500000.0,in,winter,Eredivisie,2020,False,,tibor halilovic
Beerschot V.A.,Blessing Eleke,24.0,Nigeria,Centre-Forward,CF,,FC Luzern,Switzerland,1500000.0,in,summer,Jupiler Pro League,2020,False,,blessing eleke
Beerschot V.A.,Musashi Suzuki,26.0,Japan,Centre-Forward,CF,,H. C. Sapporo,Japan,1500000.0,in,summer,Jupiler Pro League,2020,False,,musashi suzuki
Cercle Brugge,Franck Kanouté,21.0,Senegal,Central Midfield,CM,,Pescara,Italy,2000000.0,in,summer,Jupiler Pro League,2020,False,,franck kanoute
Cercle Brugge,Leonardo Lopes,21.0,Portugal,Central Midfield,CM,2000000.0,Hull City,England,2000000.0,in,summer,Jupiler Pro League,2020,False,,leonardo lopes
Cercle Brugge,Thomas Didillon,24.0,France,Goalkeeper,GK,,RSC Anderlecht,Belgium,1300000.0,in,summer,Jupiler Pro League,2020,False,,thomas didillon
Cercle Brugge,Kévin Denkey,20.0,Togo,Centre-Forward,CF,6000000.0,Nîmes Olympique,France,2000000.0,in,winter,Jupiler Pro League,2020,False,,kevin denkey
Club Brugge KV,Bas Dost,31.0,Netherlands,Centre-Forward,CF,1300000.0,E. Frankfurt,Germany,4000000.0,in,winter,Jupiler Pro League,2020,False,,bas dost
KAA Gent,Núrio Fortuna,25.0,Angola,Left-Back,LB,2500000.0,RSC Charleroi,Belgium,6000000.0,in,summer,Jupiler Pro League,2020,False,,nurio fortuna
KAA Gent,Niklas Dorsch,22.0,Germany,Defensive Midfield,DM,7000000.0,Heidenheim,Germany,3500000.0,in,summer,Jupiler Pro League,2020,False,,niklas dorsch
KAA Gent,Tim Kleindienst,24.0,Germany,Centre-Forward,CF,5000000.0,Heidenheim,Germany,3500000.0,in,summer,Jupiler Pro League,2020,False,,tim kleindienst
KAA Gent,Sven Kums,32.0,Belgium,Central Midfield,CM,,RSC Anderlecht,Belgium,1500000.0,in,summer,Jupiler Pro League,2020,False,,sven kums
KAA Gent,Osman Bukari,21.0,Ghana,Right Winger,RW,6500000.0,AS Trencin,Slovakia,1000000.0,in,summer,Jupiler Pro League,2020,False,,osman bukari
KAA Gent,Yonas Malede,21.0,Israel,Centre-Forward,CF,,Maccabi Netanya,Israel,1500000.0,in,winter,Jupiler Pro League,2020,False,,yonas malede
KAS Eupen,Smail Prevljak,25.0,Bosnia-Herzegovina,Centre-Forward,CF,1200000.0,RB Salzburg,Austria,2000000.0,in,summer,Jupiler Pro League,2020,False,,smail prevljak
KAS Eupen,Edo Kayembe,22.0,DR Congo,Defensive Midfield,DM,4000000.0,RSC Anderlecht,Belgium,1000000.0,in,summer,Jupiler Pro League,2020,False,,edo kayembe
KAS Eupen,Jordi Amat,28.0,Indonesia,Centre-Back,CB,,Rayo Vallecano,Spain,1000000.0,in,summer,Jupiler Pro League,2020,False,,jordi amat
KRC Genk,Daniel Muñoz,24.0,Colombia,Right-Back,RB,9000000.0,Atl. Nacional,Colombia,4500000.0,in,summer,Jupiler Pro League,2020,False,,daniel munoz
KRC Genk,Cyriel Dessers,25.0,Nigeria,Centre-Forward,CF,5000000.0,Heracles Almelo,Netherlands,4000000.0,in,summer,Jupiler Pro League,2020,False,,cyriel dessers
KRC Genk,Gerardo Arteaga,21.0,Mexico,Left-Back,LB,7000000.0,Santos Laguna,Mexico,3500000.0,in,summer,Jupiler Pro League,2020,False,,gerardo arteaga
KRC Genk,Eboue Kouassi,22.0,Cote d'Ivoire,Defensive Midfield,DM,,Celtic,Scotland,1500000.0,in,summer,Jupiler Pro League,2020,False,,eboue kouassi
KRC Genk,Mark McKenzie,21.0,United States,Centre-Back,CB,8000000.0,Philadelphia,United States,5450000.0,in,winter,Jupiler Pro League,2020,False,,mark mckenzie
KRC Genk,Angelo Preciado,22.0,Ecuador,Right-Back,RB,3300000.0,Independiente,Ecuador,3000000.0,in,winter,Jupiler Pro League,2020,False,,angelo preciado
KV Oostende,Makhtar Gueye,22.0,Senegal,Centre-Forward,CF,1800000.0,Saint-Étienne,France,1000000.0,in,summer,Jupiler Pro League,2020,False,,makhtar gueye
Oud-Heverlee Leuven,Mousa Al-Tamari,23.0,Jordan,Right Winger,RW,5000000.0,APOEL Nicosia,Cyprus,1100000.0,in,summer,Jupiler Pro League,2020,False,,mousa al-tamari
Oud-Heverlee Leuven,Siebe Schrijvers,24.0,Belgium,Central Midfield,CM,2000000.0,Club Brugge,Belgium,1700000.0,in,winter,Jupiler Pro League,2020,False,,siebe schrijvers
RSC Anderlecht,Mustapha Bundu,23.0,Sierra Leone,Right Winger,RW,1000000.0,Aarhus GF,Denmark,2800000.0,in,summer,Jupiler Pro League,2020,False,,mustapha bundu
RSC Anderlecht,Bart Verbruggen,18.0,Netherlands,Goalkeeper,GK,15000000.0,NAC Breda U19,Netherlands,2300000.0,in,summer,Jupiler Pro League,2020,False,,bart verbruggen
RSC Charleroi,Jules Van Cleemput,23.0,Belgium,Right-Back,RB,,KV Mechelen,Belgium,1000000.0,in,summer,Jupiler Pro League,2020,False,,jules van cleemput
Royal Antwerp FC,Koji Miyoshi,23.0,Japan,Attacking Midfield,AM,2200000.0,Kawasaki Front.,Japan,1200000.0,in,summer,Jupiler Pro League,2020,False,,koji miyoshi
Royal Antwerp FC,Jean Butez,25.0,France,Goalkeeper,GK,8000000.0,Mouscron,Belgium,1000000.0,in,summer,Jupiler Pro League,2020,False,,jean butez
Sint-Truidense VV,Oleksandr Filippov,27.0,Ukraine,Centre-Forward,CF,,Desna,Ukraine,1500000.0,in,summer,Jupiler Pro League,2020,False,,oleksandr filippov
Sint-Truidense VV,Liberato Cacace,19.0,New Zealand,Left-Back,LB,2000000.0,Wellington P.,Australia,1200000.0,in,summer,Jupiler Pro League,2020,False,,liberato cacace
Sint-Truidense VV,Chris Durkin,20.0,United States,Defensive Midfield,DM,1500000.0,D.C. United,United States,1090000.0,in,summer,Jupiler Pro League,2020,False,,chris durkin
Sint-Truidense VV,Maximiliano Caufriez,23.0,Belgium,Centre-Back,CB,3000000.0,Waasl.-Beveren,Belgium,1000000.0,in,summer,Jupiler Pro League,2020,False,,maximiliano caufriez
Standard Liège,Jackson Muleka,20.0,DR Congo,Left Winger,LW,4500000.0,TP Mazembe,DR Congo,2840000.0,in,summer,Jupiler Pro League,2020,False,,jackson muleka
Athletic Bilbao,Álex Berenguer,25.0,Spain,Left Winger,LW,15000000.0,Torino,Italy,12000000.0,in,summer,Laliga,2020,False,,alex berenguer
Atlético de Madrid,Álvaro Morata,27.0,Spain,Centre-Forward,CF,20000000.0,Chelsea,England,35000000.0,in,summer,Laliga,2020,False,,alvaro morata
Atlético de Madrid,Yannick Carrasco,27.0,Belgium,Left Winger,LW,20000000.0,DL Pro,China,27000000.0,in,summer,Laliga,2020,False,,yannick carrasco
Atlético de Madrid,Luis Suárez,33.0,Uruguay,Centre-Forward,CF,4000000.0,Barcelona,Spain,9000000.0,in,summer,Laliga,2020,False,,luis suarez
Atlético de Madrid,Ivo Grbic,24.0,Croatia,Goalkeeper,GK,3500000.0,NK Lokomotiva,Croatia,3500000.0,in,summer,Laliga,2020,False,,ivo grbic
Atlético de Madrid,Geoffrey Kondogbia,27.0,Central African Republic,Defensive Midfield,DM,14000000.0,Valencia,Spain,16000000.0,in,winter,Laliga,2020,False,,geoffrey kondogbia
CA Osasuna,Enric Gallego,33.0,Spain,Centre-Forward,CF,,Getafe,Spain,3000000.0,in,summer,Laliga,2020,False,,enric gallego
CA Osasuna,Juan Cruz,28.0,Spain,Left-Back,LB,2500000.0,Elche CF,Spain,3000000.0,in,summer,Laliga,2020,False,,juan cruz
CA Osasuna,Lucas Torró,26.0,Spain,Defensive Midfield,DM,8000000.0,E. Frankfurt,Germany,2000000.0,in,summer,Laliga,2020,False,,lucas torro
Celta de Vigo,Miguel Baeza,20.0,Spain,Attacking Midfield,AM,,RM Castilla,Spain,2500000.0,in,summer,Laliga,2020,False,,miguel baeza
Cádiz CF,Álvaro Giménez,29.0,Spain,Centre-Forward,CF,,Birmingham,England,2700000.0,in,summer,Laliga,2020,False,,alvaro gimenez
Cádiz CF,Choco Lozano,27.0,Honduras,Centre-Forward,CF,2000000.0,Girona,Spain,2500000.0,in,summer,Laliga,2020,False,,choco lozano
Cádiz CF,Iván Alejo,25.0,Spain,Right Winger,RW,1200000.0,Getafe,Spain,2000000.0,in,summer,Laliga,2020,False,,ivan alejo
Cádiz CF,Jorge Pombo,26.0,Spain,Attacking Midfield,AM,,Real Zaragoza,Spain,1200000.0,in,summer,Laliga,2020,False,,jorge pombo
Cádiz CF,Filip Malbasic,27.0,Serbia,Right Winger,RW,,CD Tenerife,Spain,1000000.0,in,summer,Laliga,2020,False,,filip malbasic
Elche CF,Raúl Guti,23.0,Spain,Central Midfield,CM,2000000.0,Real Zaragoza,Spain,5000000.0,in,summer,Laliga,2020,False,,raul guti
FC Barcelona,Miralem Pjanic,30.0,Bosnia-Herzegovina,Central Midfield,CM,5000000.0,Juventus,Italy,60000000.0,in,summer,Laliga,2020,False,,miralem pjanic
FC Barcelona,Trincão,20.0,Portugal,Left Winger,LW,12000000.0,SC Braga,Portugal,30940000.0,in,summer,Laliga,2020,False,,trincao
FC Barcelona,Sergiño Dest,19.0,United States,Right-Back,RB,13000000.0,Ajax,Netherlands,21000000.0,in,summer,Laliga,2020,False,,sergino dest
Getafe CF,Marc Cucurella,21.0,Spain,Left-Back,LB,28000000.0,Barcelona,Spain,11800000.0,in,summer,Laliga,2020,False,,marc cucurella
Getafe CF,Enes Ünal,23.0,Turkey,Centre-Forward,CF,25000000.0,Villarreal,Spain,9000000.0,in,summer,Laliga,2020,False,,enes unal
Granada CF,Luis Suárez,22.0,Colombia,Centre-Forward,CF,8000000.0,Watford,England,7000000.0,in,summer,Laliga,2020,False,,luis suarez
Granada CF,Luis Milla,25.0,Spain,Central Midfield,CM,2500000.0,CD Tenerife,Spain,5000000.0,in,summer,Laliga,2020,False,,luis milla
Granada CF,Maxime Gonalons,31.0,France,Defensive Midfield,DM,,AS Roma,Italy,4000000.0,in,summer,Laliga,2020,False,,maxime gonalons
Granada CF,Alberto Soro,21.0,Spain,Right Winger,RW,1500000.0,Real Madrid,Spain,2500000.0,in,summer,Laliga,2020,False,,alberto soro
Granada CF,Dimitri Foulquier,27.0,Guadeloupe,Right-Back,RB,2500000.0,Watford,England,2000000.0,in,summer,Laliga,2020,False,,dimitri foulquier
Levante UD,Jorge de Frutos,23.0,Spain,Right Winger,RW,8000000.0,Real Madrid,Spain,6000000.0,in,summer,Laliga,2020,False,,jorge de frutos
Levante UD,Dani Gómez,22.0,Spain,Centre-Forward,CF,1200000.0,Real Madrid,Spain,2000000.0,in,summer,Laliga,2020,False,,dani gomez
Real Sociedad,Carlos Fernández,24.0,Spain,Centre-Forward,CF,3000000.0,Sevilla FC,Spain,10000000.0,in,winter,Laliga,2020,False,,carlos fernandez
Real Valladolid CF,Shon Weissman,24.0,Israel,Centre-Forward,CF,3000000.0,Wolfsberger AC,Austria,4000000.0,in,summer,Laliga,2020,False,,shon weissman
Real Valladolid CF,Javi Sánchez,23.0,Spain,Centre-Back,CB,2500000.0,Real Madrid,Spain,3000000.0,in,summer,Laliga,2020,False,,javi sanchez
Real Valladolid CF,Saidy Janko,24.0,The Gambia,Right-Back,RB,1000000.0,FC Porto,Portugal,1900000.0,in,summer,Laliga,2020,False,,saidy janko
SD Eibar,Damian Kadzior,28.0,Poland,Right Winger,RW,,Dinamo Zagreb,Croatia,2000000.0,in,summer,Laliga,2020,False,,damian kadzior
SD Huesca,Borja García,29.0,Spain,Attacking Midfield,AM,1000000.0,Girona,Spain,1500000.0,in,summer,Laliga,2020,False,,borja garcia
SD Huesca,Pablo Insua,26.0,Spain,Centre-Back,CB,,FC Schalke 04,Germany,1000000.0,in,summer,Laliga,2020,False,,pablo insua
SD Huesca,Dimitrios Siovas,32.0,Greece,Centre-Back,CB,,CD Leganés,Spain,1000000.0,in,summer,Laliga,2020,False,,dimitrios siovas
Sevilla FC,Suso,26.0,Spain,Right Winger,RW,6000000.0,AC Milan,Italy,21700000.0,in,summer,Laliga,2020,False,,suso
Sevilla FC,Óscar Rodríguez,22.0,Spain,Attacking Midfield,AM,5000000.0,Real Madrid,Spain,13500000.0,in,summer,Laliga,2020,False,,oscar rodriguez
Sevilla FC,Oussama Idrissi,24.0,Morocco,Left Winger,LW,5500000.0,AZ Alkmaar,Netherlands,12000000.0,in,summer,Laliga,2020,False,,oussama idrissi
Sevilla FC,Marcos Acuña,28.0,Argentina,Left-Back,LB,8000000.0,Sporting CP,Portugal,11250000.0,in,summer,Laliga,2020,False,,marcos acuna
Sevilla FC,Bono,29.0,Morocco,Goalkeeper,GK,11000000.0,Girona,Spain,4000000.0,in,summer,Laliga,2020,False,,bono
Sevilla FC,Ivan Rakitic,32.0,Croatia,Central Midfield,CM,4000000.0,Barcelona,Spain,3500000.0,in,summer,Laliga,2020,False,,ivan rakitic
Sevilla FC,Karim Rekik,25.0,Netherlands,Centre-Back,CB,4000000.0,Hertha BSC,Germany,2000000.0,in,summer,Laliga,2020,False,,karim rekik
Sevilla FC,Papu Gómez,32.0,Argentina,Left Winger,LW,,Atalanta BC,Italy,6400000.0,in,winter,Laliga,2020,False,,papu gomez
Villarreal CF,Pervis Estupiñán,22.0,Ecuador,Left-Back,LB,35000000.0,Watford,England,16399999.999999998,in,summer,Laliga,2020,False,,pervis estupinan
Villarreal CF,Francis Coquelin,29.0,France,Defensive Midfield,DM,2500000.0,Valencia,Spain,7100000.0,in,summer,Laliga,2020,False,,francis coquelin
Villarreal CF,Gerónimo Rulli,28.0,Argentina,Goalkeeper,GK,10000000.0,Real Sociedad,Spain,5000000.0,in,summer,Laliga,2020,False,,geronimo rulli
Villarreal CF,Jorge Cuenca,20.0,Spain,Centre-Back,CB,5000000.0,Barcelona B,Spain,2500000.0,in,summer,Laliga,2020,False,,jorge cuenca
Villarreal CF,Dani Parejo,31.0,Spain,Central Midfield,CM,4000000.0,Valencia,Spain,2250000.0,in,summer,Laliga,2020,False,,dani parejo
Villarreal CF,Étienne Capoue,32.0,France,Defensive Midfield,DM,2000000.0,Watford,England,2000000.0,in,winter,Laliga,2020,False,,etienne capoue
Boavista FC,Reggie Cannon,22.0,United States,Right-Back,RB,3000000.0,Dallas,United States,2500000.0,in,summer,Liga Portugal,2020,False,,reggie cannon
Boavista FC,Alberth Elis,24.0,Honduras,Right Winger,RW,2000000.0,Houston,United States,1000000.0,in,summer,Liga Portugal,2020,False,,alberth elis
FC Famalicão,Iván Jaime,19.0,Spain,Attacking Midfield,AM,10000000.0,A. Malagueño,Spain,2500000.0,in,summer,Liga Portugal,2020,False,,ivan jaime
FC Famalicão,Ivan Zlobin,23.0,Russia,Goalkeeper,GK,,Benfica,Portugal,1000000.0,in,summer,Liga Portugal,2020,False,,ivan zlobin
FC Famalicão,Manuel Ugarte,19.0,Uruguay,Defensive Midfield,DM,55000000.0,CA Fénix,Uruguay,9100000.0,in,winter,Liga Portugal,2020,False,,manuel ugarte
FC Paços de Ferreira,Stephen Eustaquio,24.0,Canada,Central Midfield,CM,12000000.0,CD Cruz Azul,Mexico,2500000.0,in,winter,Liga Portugal,2020,False,,stephen eustaquio
FC Porto,Evanilson,20.0,Brazil,Centre-Forward,CF,22000000.0,Tombense,Brazil,8800000.0,in,summer,Liga Portugal,2020,False,,evanilson
FC Porto,Mehdi Taremi,28.0,Iran,Centre-Forward,CF,18000000.0,Rio Ave,Portugal,4730000.0,in,summer,Liga Portugal,2020,False,,mehdi taremi
FC Porto,Zaidu,23.0,Nigeria,Left-Back,LB,6000000.0,Santa Clara,Portugal,4000000.0,in,summer,Liga Portugal,2020,False,,zaidu
FC Porto,Toni Martínez,23.0,Spain,Centre-Forward,CF,7000000.0,Famalicão,Portugal,3200000.0,in,summer,Liga Portugal,2020,False,,toni martinez
SC Braga,Abel Ruiz,20.0,Spain,Centre-Forward,CF,14000000.0,Barcelona B,Spain,8000000.0,in,summer,Liga Portugal,2020,False,,abel ruiz
